createdon,OrderAmount
3-19-21 0:09,451
3-19-21 1:12,482
3-19-21 17:30,478
3-19-21 18:36,698
3-19-21 20:16,614
3-20-21 19:10,190
3-20-21 19:41,469
3-21-21 8:21,405
3-21-21 10:57,662
3-22-21 11:52,207
3-23-21 10:13,376
3-23-21 16:43,944
3-24-21 0:32,2019
3-24-21 9:48,136
3-24-21 12:56,860
3-24-21 20:36,425
3-25-21 8:31,559
3-25-21 15:52,517
3-25-21 21:06,442
3-26-21 11:01,667
3-26-21 16:58,1113
3-26-21 18:05,590
3-27-21 19:59,506
3-27-21 23:07,475
3-28-21 19:15,536
3-28-21 21:34,140
3-28-21 22:19,802
3-29-21 10:26,649
3-29-21 16:58,276
3-29-21 17:10,534
3-29-21 19:23,682
4-1-21 22:36,851
4-2-21 8:07,737
4-2-21 16:59,428
4-3-21 7:53,745
4-3-21 11:41,1018
4-3-21 16:45,667
4-3-21 17:36,866
4-3-21 19:16,222
4-4-21 11:33,612
4-4-21 12:23,498
4-4-21 12:35,3857
4-4-21 14:04,404
4-4-21 20:58,420
4-5-21 8:55,753
4-5-21 9:17,1688
4-5-21 14:12,964
4-5-21 14:33,404
4-7-21 8:54,198
4-7-21 11:41,479
4-7-21 11:52,956
4-7-21 16:22,638
4-8-21 19:28,1777
4-8-21 19:58,2932
4-8-21 20:09,648
4-8-21 22:02,414
4-8-21 22:41,874
4-9-21 17:49,768
4-10-21 0:05,325
4-10-21 14:43,1198
4-10-21 18:09,424
4-11-21 9:45,2200
4-11-21 11:03,475
4-11-21 11:25,451
4-11-21 13:19,850
4-11-21 18:45,577
4-11-21 18:48,256
4-11-21 19:39,436
4-11-21 20:28,466
4-11-21 20:56,716
4-11-21 22:22,1019
4-11-21 23:54,505
4-12-21 9:39,580
4-12-21 10:45,412
4-12-21 12:34,1160
4-12-21 13:39,814
4-12-21 17:10,439
4-12-21 18:16,686
4-12-21 19:34,625
4-13-21 9:54,403
4-13-21 10:13,702
4-13-21 10:41,2993
4-13-21 11:26,514
4-13-21 16:37,600
4-13-21 16:38,70
4-13-21 21:53,1046
4-14-21 11:49,583
4-14-21 11:58,813
4-14-21 17:22,796
4-14-21 19:08,647
4-15-21 10:34,1280
4-15-21 12:57,947
4-15-21 15:14,671
4-15-21 15:21,668
4-15-21 21:57,1243
4-16-21 10:52,291
4-16-21 12:27,40
4-16-21 12:51,691
4-16-21 14:49,32
4-17-21 10:58,492
4-17-21 11:51,260
4-17-21 12:53,578
4-17-21 17:49,2138
4-17-21 20:10,751
4-17-21 20:22,401
4-18-21 1:36,333
4-18-21 8:04,111
4-18-21 8:38,412
4-18-21 9:52,252
4-18-21 10:23,868
4-18-21 12:41,698
4-18-21 14:03,178
4-18-21 14:24,98
4-18-21 18:52,40
4-18-21 20:45,426
4-18-21 21:18,1618
4-18-21 21:20,340
4-18-21 21:50,794
4-18-21 22:11,184
4-18-21 22:33,1604
4-19-21 0:50,417
4-19-21 10:26,1885
4-19-21 13:07,423
4-19-21 16:41,570
4-19-21 18:21,668
4-19-21 18:23,703
4-19-21 18:51,740
4-19-21 23:28,3745
4-20-21 9:42,815
4-20-21 10:08,220
4-20-21 10:36,420
4-20-21 11:27,1633
4-20-21 17:48,928
4-20-21 19:42,613
4-20-21 20:02,568
4-20-21 22:14,556
4-21-21 7:40,667
4-21-21 8:36,428
4-21-21 10:39,1323
4-21-21 14:42,377
4-21-21 14:55,403
4-21-21 19:16,372
4-21-21 19:26,277
4-21-21 21:51,550
4-22-21 0:52,290
4-22-21 10:10,577
4-22-21 10:48,2078
4-22-21 11:02,1270
4-22-21 12:25,1138
4-22-21 12:48,631
4-22-21 15:52,293
4-22-21 21:21,1458
4-23-21 9:02,436
4-23-21 9:55,457
4-23-21 11:00,743
4-23-21 13:07,425
4-23-21 13:55,4237
4-23-21 15:52,68
4-23-21 17:07,518
4-23-21 23:48,550
4-24-21 11:06,148
4-24-21 11:57,715
4-24-21 18:06,687
4-25-21 8:19,613
4-25-21 10:00,88
4-25-21 10:11,125
4-25-21 10:34,542
4-25-21 11:00,210
4-25-21 11:32,325
4-25-21 11:49,568
4-25-21 13:44,1570
4-25-21 16:41,824
4-25-21 17:48,1405
4-26-21 0:58,598
4-26-21 8:51,1679
4-26-21 9:29,544
4-26-21 10:06,337
4-26-21 11:41,555
4-26-21 15:23,514
4-26-21 16:20,1141
4-26-21 16:42,202
4-26-21 17:48,620
4-26-21 17:55,1803
4-26-21 21:46,636
4-27-21 11:47,1620
4-27-21 13:36,416
4-27-21 13:39,308
4-27-21 15:42,548
4-27-21 16:35,335
4-27-21 18:38,780
4-27-21 19:02,438
4-27-21 20:22,256
4-28-21 10:01,209
4-28-21 11:16,709
4-28-21 13:49,2222
4-28-21 20:30,691
4-28-21 21:05,1534
4-29-21 0:17,1024
4-29-21 8:05,205
4-29-21 8:58,799
4-29-21 11:36,221
4-29-21 13:36,548
4-29-21 13:42,536
4-29-21 13:50,901
4-29-21 16:31,984
4-29-21 16:37,144
4-29-21 16:42,209
4-29-21 19:12,1118
4-29-21 21:18,559
4-30-21 10:01,606
4-30-21 10:43,385
4-30-21 12:43,585
4-30-21 14:58,430
4-30-21 15:34,259
4-30-21 15:58,700
4-30-21 18:28,597
4-30-21 19:18,892
4-30-21 22:26,3054
5-1-21 7:34,193
5-1-21 8:52,6
5-1-21 9:45,912
5-1-21 10:03,509
5-1-21 10:25,5913
5-1-21 10:54,3
5-1-21 11:25,414
5-1-21 11:50,482
5-1-21 13:22,3
5-1-21 13:41,407
5-1-21 14:01,513
5-1-21 14:11,736
5-1-21 14:38,954
5-1-21 16:54,412
5-1-21 17:24,900
5-1-21 18:22,435
5-1-21 20:25,405
5-1-21 21:19,631
5-1-21 22:44,430
5-1-21 23:10,429
5-2-21 9:40,74
5-2-21 9:49,422
5-2-21 10:18,656
5-2-21 10:21,2156
5-2-21 10:21,424
5-2-21 10:43,407
5-2-21 10:49,875
5-2-21 10:59,2587
5-2-21 11:13,633
5-2-21 11:23,1035
5-2-21 11:29,405
5-2-21 14:37,632
5-2-21 15:52,217
5-2-21 16:34,176
5-2-21 16:49,1904
5-2-21 17:08,565
5-2-21 17:10,463
5-2-21 17:35,410
5-2-21 20:50,428
5-2-21 21:07,704
5-2-21 21:17,675
5-2-21 21:43,5274
5-2-21 23:05,3
5-2-21 23:06,3
5-3-21 8:42,429
5-3-21 9:17,793
5-3-21 11:31,3
5-3-21 13:48,440
5-3-21 13:49,1615
5-3-21 14:37,1507
5-3-21 19:14,360
5-3-21 22:22,440
5-3-21 22:52,611
5-4-21 9:46,188
5-4-21 10:45,445
5-4-21 13:15,464
5-4-21 16:28,470
5-4-21 17:26,1810
5-4-21 17:54,235
5-4-21 17:57,562
5-4-21 18:11,1947
5-4-21 19:22,2027
5-5-21 10:35,1051
5-5-21 10:39,618
5-5-21 11:05,214
5-5-21 11:07,671
5-5-21 11:33,401
5-5-21 11:46,329
5-5-21 13:58,481
5-5-21 17:18,635
5-5-21 20:28,1203
5-6-21 0:04,597
5-6-21 12:02,553
5-6-21 13:34,2017
5-6-21 15:55,1032
5-6-21 16:39,1273
5-6-21 17:16,480
5-6-21 17:46,446
5-6-21 17:58,633
5-6-21 21:52,403
5-7-21 10:14,800
5-7-21 10:21,623
5-7-21 12:43,1151
5-7-21 12:46,252
5-7-21 13:21,780
5-7-21 15:38,85
5-7-21 17:07,144
5-7-21 20:12,594
5-7-21 20:41,491
5-8-21 10:22,1789
5-8-21 11:37,2429
5-8-21 14:07,835
5-8-21 21:05,1459
5-8-21 21:28,1049
5-8-21 23:22,1167
5-9-21 9:13,1524
5-9-21 10:27,1487
5-9-21 10:35,704
5-9-21 11:21,605
5-9-21 11:44,666
5-9-21 13:16,826
5-9-21 13:50,1209
5-9-21 18:01,417
5-9-21 19:36,629
5-9-21 22:26,1199
5-9-21 22:31,417
5-10-21 10:25,733
5-10-21 10:30,80
5-10-21 10:39,1302
5-10-21 13:22,610
5-10-21 14:31,88
5-10-21 15:12,505
5-10-21 15:15,190
5-10-21 16:14,3
5-10-21 16:21,1372
5-10-21 16:45,631
5-10-21 17:13,501
5-10-21 17:47,621
5-10-21 18:47,529
5-10-21 18:51,504
5-10-21 19:11,4122
5-10-21 21:21,503
5-10-21 21:33,4909
5-10-21 22:52,180
5-11-21 2:44,91
5-11-21 13:32,638
5-11-21 15:53,679
5-11-21 16:16,1875
5-11-21 17:09,525
5-11-21 18:01,624
5-11-21 18:10,560
5-11-21 18:40,437
5-11-21 20:29,191
5-11-21 23:20,930
5-11-21 23:54,711
5-12-21 0:54,3
5-12-21 2:45,477
5-12-21 2:49,436
5-12-21 8:10,362
5-12-21 8:20,26
5-12-21 9:22,3
5-12-21 9:37,3
5-12-21 10:40,1140
5-12-21 11:18,526
5-12-21 11:37,1740
5-12-21 12:26,522
5-12-21 12:34,624
5-12-21 13:08,150
5-12-21 14:10,501
5-12-21 14:33,1297
5-12-21 14:48,1187
5-12-21 15:16,675
5-12-21 16:18,994
5-12-21 16:27,820
5-12-21 16:37,463
5-12-21 16:38,503
5-12-21 16:56,523
5-12-21 17:41,2006
5-12-21 18:21,309
5-12-21 19:07,332
5-12-21 20:01,577
5-12-21 22:06,958
5-13-21 7:47,673
5-13-21 10:16,513
5-13-21 12:19,4913
5-13-21 12:24,1461
5-13-21 12:26,867
5-13-21 13:17,501
5-13-21 14:38,150
5-13-21 15:29,600
5-13-21 16:22,843
5-13-21 16:26,547
5-13-21 17:52,594
5-13-21 18:57,501
5-13-21 20:15,73
5-13-21 20:26,504
5-13-21 21:55,610
5-13-21 23:59,522
5-14-21 10:09,528
5-14-21 10:11,273
5-14-21 10:59,543
5-14-21 17:31,553
5-14-21 18:52,257
5-14-21 20:11,1094
5-14-21 23:00,542
5-15-21 8:08,1142
5-15-21 8:31,505
5-15-21 9:36,861
5-15-21 12:30,649
5-15-21 12:54,1095
5-15-21 13:03,237
5-15-21 13:38,433
5-15-21 14:39,627
5-15-21 19:31,290
5-16-21 11:58,507
5-16-21 12:59,960
5-16-21 13:23,502
5-16-21 14:53,682
5-16-21 15:04,592
5-16-21 17:58,540
5-16-21 20:02,1476
5-16-21 20:24,391
5-16-21 21:17,519
5-16-21 22:05,1855
5-16-21 23:50,743
5-17-21 9:39,1953
5-17-21 10:02,1828
5-17-21 11:08,842
5-17-21 12:29,33
5-17-21 13:13,308
5-17-21 13:30,513
